sample_id_pangaea;ocean_region;depth;depthplot;sizeplot;abs_lat;temperature;chla;phosphate;nitrate_nitrite;silicate;OTU_richness;Shannon;Inv_Simpson;Pielou
TARA_N000002231;[SPO] South Pacific Ocean (MRGID:1910);SRF;SRF;piconano;6.6499;27.067715;0.201192;0.56525;4.821;1.932;155;3.54197503196265;18.2879337269176;0.702295553091556
TARA_N000002233;[SPO] South Pacific Ocean (MRGID:1910);DCM;MIX/DCM;piconano;6.628;26.960655;0.179825;0.56825;4.5355;1.5525;170;3.87067557177451;29.5751652716934;0.75366578716388
TARA_N000002235;[SPO] South Pacific Ocean (MRGID:1910);SRF;SRF;piconano;6.6499;27.067715;0.201192;0.56525;4.821;1.932;82;1.92480404628918;3.00360953884279;0.436788444710683
TARA_N000002237;[SPO] South Pacific Ocean (MRGID:1910);DCM;MIX/DCM;piconano;6.628;26.960655;0.179825;0.56825;4.5355;1.5525;88;3.29486266196627;10.6239067656379;0.735897878245788
TARA_N000002239;[SPO] South Pacific Ocean (MRGID:1910);SRF;SRF;nano;6.605;27.067715;0.201192;0.56525;4.821;1.932;183;3.2365132249275;14.491361179784;0.621273025778599
TARA_N000002241;[SPO] South Pacific Ocean (MRGID:1910);DCM;MIX/DCM;nano;6.6382;26.960655;0.179825;0.56825;4.5355;1.5525;201;3.53572002958148;21.3428540979293;0.666701253440753
TARA_N000002243;[SPO] South Pacific Ocean (MRGID:1910);SRF;SRF;micro;6.6264;27.067715;0.201192;0.56525;4.821;1.932;174;3.28325364735004;11.3285501114635;0.636405980732541
TARA_N000002245;[SPO] South Pacific Ocean (MRGID:1910);DCM;MIX/DCM;micro;6.6344;26.960655;0.179825;0.56825;4.5355;1.5525;121;3.19653002957199;11.2466825636638;0.666528281245912
TARA_N000002247;[SPO] South Pacific Ocean (MRGID:1910);SRF;SRF;meso;6.6226;27.067715;0.201192;0.56525;4.821;1.932;41;2.45766892163237;6.45083288554541;0.661807251209072
TARA_N000002249;[SPO] South Pacific Ocean (MRGID:1910);DCM;MIX/DCM;meso;6.633;26.960655;0.179825;0.56825;4.5355;1.5525;7;1.75242367526484;5;0.90056762184811
TARA_N000002285;[SPO] South Pacific Ocean (MRGID:1910);SRF;SRF;piconano;3e-04;26.218438;0.25349;0.53975;5.0815;2.668;185;3.47006342003067;13.9275235155554;0.664717796315849
TARA_N000002287;[SPO] South Pacific Ocean (MRGID:1910);DCM;MIX/DCM;piconano;0.0222;26.139288;0.28262;0.54925;5.264;2.7405;169;3.6075327409227;16.2469473545697;0.703236640994149
TARA_N000002289;[SPO] South Pacific Ocean (MRGID:1910);SRF;SRF;piconano;3e-04;26.218438;0.25349;0.53975;5.0815;2.668;89;2.07949658302301;3.55757371464425;0.463280250778501
TARA_N000002291;[SPO] South Pacific Ocean (MRGID:1910);DCM;MIX/DCM;piconano;0.0222;26.139288;0.28262;0.54925;5.264;2.7405;122;2.82692741176969;6.81981567513536;0.588450255618448
TARA_N000002293;[SPO] South Pacific Ocean (MRGID:1910);SRF;SRF;nano;0.0078;26.218438;0.25349;0.53975;5.0815;2.668;216;3.38518704006759;15.6285269990681;0.629769619975095
TARA_N000002295;[SPO] South Pacific Ocean (MRGID:1910);DCM;MIX/DCM;nano;0.001;26.139288;0.28262;0.54925;5.264;2.7405;244;3.35700906785328;15.177335029391;0.610679704580848
TARA_N000002297;[SPO] South Pacific Ocean (MRGID:1910);SRF;SRF;micro;0.008;26.218438;0.25349;0.53975;5.0815;2.668;81;3.37673235788135;15.5687583444593;0.768408562490934
TARA_N000002299;[SPO] South Pacific Ocean (MRGID:1910);DCM;MIX/DCM;micro;0.0396;26.139288;0.28262;0.54925;5.264;2.7405;108;3.21367921724757;12.0739229597816;0.686371026644937
TARA_N000002301;[SPO] South Pacific Ocean (MRGID:1910);SRF;SRF;meso;0.0193;26.218438;0.25349;0.53975;5.0815;2.668;33;2.77363625146583;9.47432024169185;0.793259045692593
TARA_N000002303;[SPO] South Pacific Ocean (MRGID:1910);DCM;MIX/DCM;meso;0.0348;26.139288;0.28262;0.54925;5.264;2.7405;18;2.12233960294654;4.34311328443358;0.734279110342311
TARA_N000002306;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;piconano;6.671;28.29544;0.21374;0.225;0.4145;1.3695;134;3.32403907652599;14.5160812864534;0.678674520256726
TARA_N000002308;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;piconano;6.6112;28.308435;0.214085;0.332;1.1285;1.448;123;3.61391530455089;20.6657997325857;0.750992696386673
TARA_N000002310;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;piconano;6.671;28.29544;0.21374;0.225;0.4145;1.3695;78;2.56753188112243;5.14541871037632;0.589328317144697
TARA_N000002312;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;piconano;6.6112;28.308435;0.214085;0.332;1.1285;1.448;64;2.72160754120336;6.18988512988101;0.65440828382335
TARA_N000002314;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;nano;6.671;28.29544;0.21374;0.225;0.4145;1.3695;165;3.40383820312039;15.560034789006;0.66664209802462
TARA_N000002316;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;nano;6.6433;28.31338;0.216998;0.332;1.1285;1.448;182;3.00801039103475;10.9926531553704;0.578018164062816
TARA_N000002318;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;micro;6.8381;28.29544;0.21374;0.225;0.4145;1.3695;116;3.28763097499954;12.4638397959224;0.691610097385018
TARA_N000002320;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;micro;6.6261;28.31338;0.216998;0.332;1.1285;1.448;98;3.67249152752315;21.3857011353176;0.800985294793847
TARA_N000002322;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;meso;6.7379;28.29544;0.21374;0.225;0.4145;1.3695;34;3.19892844860561;18.6082474226804;0.907147305635691
TARA_N000002324;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;meso;6.8156;28.13187;0.208462;0.332;1.1285;1.448;36;3.15869295930188;16.1240875912409;0.881450053299491
TARA_N000002341;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;piconano;11.2723;27.5021;0.110735;0.186;NA;0.645;72;2.55080067081839;4.55863070391663;0.596446063319355
TARA_N000002343;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;piconano;11.2723;27.5021;0.110735;0.186;NA;0.645;57;1.75936906250181;2.41514167554113;0.435158731846635
TARA_N000002346;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;micro;11.2521;27.5021;0.110735;0.186;NA;0.645;40;3.11179152498989;16.025641025641;0.843560101027302
TARA_N000002347;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;meso;11.2678;27.5021;0.110735;0.186;NA;0.645;25;3.04470635241412;15.7826086956522;0.94589121111523
TARA_N000002348;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;piconano;22.7598;26.275305;0.097229;0.0457;0.018;1.0473;54;2.68308606061234;6.27820079165167;0.672623913581027
TARA_N000002350;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;piconano;22.7901;22.3077;0.11445;0.0172;0.006;1.6413;119;3.69023385237883;17.4741393243898;0.772157040448486
TARA_N000002352;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;piconano;22.7598;26.275305;0.097229;0.0457;0.018;1.0473;81;2.69451711756432;6.44106389305394;0.613163794306131
TARA_N000002354;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;piconano;22.7901;22.3077;0.11445;0.0172;0.006;1.6413;40;1.98155646763873;3.66104406655696;0.537170295827599
TARA_N000002356;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;nano;22.7091;26.275305;0.097229;0.0457;0.018;1.0473;44;3.42904554653648;21.9657142857143;0.906150557520012
TARA_N000002358;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;nano;22.7281;22.417275;0.11445;0.0172;0.006;1.6413;162;3.65439997209507;19.6085203461583;0.718295975407442
TARA_N000002360;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;micro;22.7267;26.275305;0.097229;0.0457;0.018;1.0473;66;3.28354347091853;11.9798423311047;0.783726505666756
TARA_N000002362;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;micro;22.7384;22.3077;0.11445;0.0172;0.006;1.6413;70;3.56326369022631;18.5242575713025;0.838711940867677
TARA_N000002364;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;meso;22.7511;26.275305;0.097229;0.0457;0.018;1.0473;24;2.32263428225851;5.59918200408998;0.730835412565753
TARA_N000002366;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;meso;22.7478;22.3077;0.11445;0.0172;0.006;1.6413;9;1.96523704938023;5.44444444444444;0.894417925983134
TARA_N000002384;[NPO] North Pacific Ocean (MRGID:1908);MES;MES;piconano;22.7546;4.663706;0;NA;NA;NA;3;0.955699891112534;2.33333333333333;0.869915529773626
TARA_N000002385;[NPO] North Pacific Ocean (MRGID:1908);MES;MES;nano;22.7546;4.663706;0;NA;NA;NA;27;3.04475134454795;17.326139088729;0.923817369710782
TARA_N000002400;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;meso;31.5024;25.164595;0.101563;0.0062;0.01;2.4278;10;2.13839724634772;6.76;0.928694124205925
TARA_N000002402;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;meso;31.5237;15.321075;0.158691;0.1252;0.047;4.4468;14;2.29166286568226;6.37349397590362;0.868364184425033
TARA_N000002404;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;micro;31.4901;25.164595;0.101563;0.0062;0.01;2.4278;37;1.99238594833563;3.93308877922236;0.551767167389479
